X,Y,Point index
63,147,0
63,153,1
64,159,2
65,165,3
66,171,4
68,177,5
70,183,6
73,188,7
76,194,8
79,199,9
83,203,10
153,186,11
150,189,12
147,191,13
143,192,14
139,194,15
136,195,16
132,195,17
127,196,18
123,195,19
119,194,20
87,208,21
116,193,22
112,191,23
108,189,24
105,187,25
145,125,26
147,122,27
149,120,28
151,119,29
154,118,30
157,117,31
91,212,32
160,116,33
163,117,34
166,117,35
168,118,36
171,120,37
170,123,38
168,125,39
165,126,40
162,126,41
159,127,42
95,216,43
156,127,44
153,126,45
150,126,46
147,125,47
108,123,48
107,121,49
104,119,50
102,118,51
100,117,52
97,116,53
100,221,54
94,117,55
91,117,56
89,118,57
86,120,58
84,122,59
85,123,60
88,125,61
90,126,62
93,127,63
96,127,64
104,225,65
99,127,66
102,126,67
104,126,68
107,125,69
138,106,70
141,101,71
146,99,72
151,97,73
156,97,74
161,96,75
109,229,76
166,96,77
172,97,78
177,98,79
181,101,80
185,105,81
184,109,82
179,108,83
174,107,84
169,106,85
164,106,86
114,232,87
158,106,88
153,107,89
148,108,90
143,108,91
114,104,92
111,100,93
107,98,94
102,96,95
97,96,96
92,95,97
119,234,98
87,95,99
82,96,100
77,98,101
73,102,102
70,106,103
71,109,104
76,108,105
81,106,106
86,105,107
91,105,108
125,235,109
96,105,110
101,106,111
106,107,112
111,108,113
131,235,114
137,234,115
143,233,116
148,230,117
153,227,118
158,223,119
162,219,120
167,215,121
171,211,122
175,206,123
179,202,124
183,197,125
186,192,126
189,186,127
191,181,128
193,175,129
195,169,130
196,163,131
197,156,132
197,150,133
198,144,134
116,148,135
113,152,136
110,156,137
108,161,138
109,166,139
113,169,140
118,171,141
123,172,142
128,174,143
133,172,144
138,170,145
142,168,146
147,166,147
148,161,148
147,156,149
144,152,150
140,147,151
98,183,152
103,182,153
108,182,154
113,182,155
119,183,156
124,184,157
129,184,158
134,183,159
139,183,160
144,182,161
149,182,162
154,181,163
158,183,164
158,187,165
155,191,166
151,195,167
148,199,168
143,202,169
139,204,170
134,205,171
129,206,172
124,205,173
119,204,174
115,202,175
110,199,176
107,196,177
103,191,178
101,187,179
102,184,180
106,184,181
110,185,182
114,186,183
118,187,184
122,187,185
126,188,186
130,188,187
134,187,188
138,187,189
142,186,190
146,185,191
150,184,192
154,184,193
