,X,Y
0,55,135
1,55,154
2,58,173
3,61,192
4,67,210
5,78,225
6,92,237
7,110,243
8,130,245
9,151,242
10,167,232
11,179,219
12,187,203
13,191,185
14,192,168
15,192,150
16,191,133
17,69,115
18,76,101
19,90,94
20,105,93
21,121,97
22,136,96
23,150,93
24,165,94
25,177,102
26,182,116
27,129,111
28,129,122
29,130,133
30,131,144
31,116,160
32,123,162
33,130,164
34,138,162
35,144,160
36,84,122
37,92,117
38,101,117
39,109,121
40,101,123
41,92,123
42,146,121
43,154,117
44,162,117
45,169,122
46,162,124
47,154,123
48,101,192
49,113,184
50,124,180
51,131,182
52,138,180
53,148,184
54,156,192
55,147,197
56,138,200
57,130,200
58,123,200
59,113,197
60,106,191
61,124,187
62,131,188
63,138,187
64,152,191
65,138,193
66,130,193
67,124,193
