,x,y
0,17,63
1,18,86
2,22,107
3,27,128
4,35,148
5,46,165
6,61,178
7,79,188
8,99,190
9,119,186
10,137,175
11,153,164
12,166,149
13,174,131
14,178,111
15,182,90
16,183,68
17,26,40
18,37,30
19,51,25
20,67,27
21,81,36
22,118,34
23,132,27
24,148,26
25,163,31
26,174,40
27,99,57
28,98,71
29,97,85
30,96,99
31,82,111
32,89,115
33,96,117
34,104,114
35,112,111
36,42,59
37,52,53
38,64,53
39,77,61
40,64,63
41,52,64
42,122,60
43,133,53
44,145,53
45,156,59
46,146,63
47,133,63
48,70,142
49,79,133
50,89,129
51,97,131
52,105,129
53,116,133
54,127,140
55,116,148
56,106,152
57,97,153
58,88,152
59,79,150
60,75,141
61,89,139
62,97,139
63,105,138
64,121,140
65,106,141
66,97,142
67,89,141
